"gene","inheritance"
"CD79A","AR"
"ARHGEF1","AR"
"ATP1A3","AD"
"ERF","AD"
"CIC","AD"
"MEGF8","AR"
"LIPE","AR"
"ETHE1","AR"
"XRCC1","AR"
"SMG9","AR"
"KCNN4","AD"
"CEACAM16","AD"
"BCAM","AR"
"APOE","AD"
"APOC2","AR"
"RELB","AR"
"BLOC1S3","AR"
"ERCC2","AR"
"ERCC1","AR"
"RTN2","AD"
"OPA3","AD"
"DMPK","AD"
"NOVA2","AD"
"CCDC8","AR"
"CALM3","AD"
"FKRP","AR"
"AP2S1","AD"
"KPTN","AR"
"BICRA","AD"
"CRX","AD"
"CARD8","AD"
"ODAD1","AR"
"GRIN2D","AD"
"SULT2B1","AR"
"RPL18","AD"
"FUT2","AR"
"FUT1","AR"
"BCAT2","AR"
"FTL","AD"
"GYS1","AR"
"LHB","AR"
"TRPM4","AD"
"PRR12","AD"
"IRF3","AD"
"CPT1C","AD"
"FUZ","AD"
"MED25","AR"
"PNKP","AR"
"NUP62","AR"
"MYH14","AD"
"KCNC3","AD"
"POLD1","AD"
"EMC10","AR"
"ACP4","AR"
"KLK4","AR"
"ETFB","AR"
"LIM2","AR"
"PPP2R1A","AD"
"NLRP12","AD"
"PRKCG","AD"
"PRPF31","AD"
"CNOT3","AD"
"MBOAT7","AR"
"TSEN34","AR"
"NLRP7","AR"
"GP6","AR"
"TNNT1","AR"
"TNNI3","AD"
"DNAAF3","AR"
"","AD"
"","AR"
"","AD"
"","AD"
"AURKC","AR"
"RBCK1","AR"
"TBC1D20","AR"
"CSNK2A1","AD"
"SLC52A3","AR"
"RSPO4","AR"
"PDYN","AD"
"TGM3","AR"
"TGM6","AD"
"SNRPB","AD"
"NOP56","AD"
"IDH3B","AR"
"VPS16","AD"
"AVP","AD"
"DDRGK1","AR"
"ITPA","AR"
"SLC4A11","AR"
"PANK2","AR"
"PRNP","AD"
"","AD"
"PCNA","AR"
"PROKR2","AD"
"MCM8","AR"
"FERMT1","AR"
"BMP2","AD"
"PLCB1","AR"
"PLCB4","AD"
"SNAP25","AD"
"MKKS","AR"
"JAG1","AD"
"TASP1","AR"
"NDUFAF5","AR"
"FLRT3","AD"
"BFSP1","AD"
"MGME1","AR"
"OVOL2","AD"
"PET117","AR"
"SEC23B","AD"
"RIN2","AR"
"KIZ","AR"
"PAX1","AR"
"","AR"
"THBD","AD"
"GZF1","AR"
"CST3","AD"
"VSX1","AD"
"ABHD12","AR"
"GINS1","AR"
"COX4I2","AR"
"MYLK2","AD"
"POFUT1","AD"
"KIF3B","AD"
"ASXL1","AD"
"DNMT3B","AR"
"SUN5","AR"
"SNTA1","AD"
"ZNF341","AR"
"CHMP4B","AD"
"AHCY","AR"
"ITCH","AR"
"PIGU","AR"
"GSS","AR"
"GDF5","AD"
"CEP250","AR"
"RBM12","AD"
"NFS1","AR"
"","AD"
"","AR"
"EPB41L1","AD"
"MYL9","AR"
"SAMHD1","AD"
"SRC","AD"
"","AD"
"MAFB","AD"
"IFT52","AR"
"JPH2","AD"
"FITM2","AR"
"HNF4A","AD"
"ADA","AR"
"PIGT","AD"
"CTSA","AR"
"ZNF335","AR"
"SLC12A5","AD"
"CD40","AR"
"ELMO2","AR"
"SLC13A3","AR"
"TP53RK","AR"
"SLC2A10","AR"
"ARFGEF2","AR"
"KCNB1","AD"
"PTPN1","AD"
"ADNP","AD"
"DPM1","AR"
"","AR"
"","AD"
"SALL4","AD"
"CYP24A1","AR"
"AURKA","AD"
"PCK1","AR"
"VAPB","AD"
"STX16","AD"
"GNAS-AS1","AD"
"GNAS","AD"
"TUBB1","AD"
"ATP5F1E","AR"
"EDN3","AD"
"SYCP2","AR"
"OSBPL2","AD"
"GATA5","AD"
"COL9A3","AD"
"SLC17A9","AD"
"CHRNA4","AD"
"KCNQ2","AD"
"EEF1A2","AD"
"RTEL1","AD"
"DNAJC5","AD"
"PRPF6","AD"
"SOX18","AD"
"","AD"
"NRIP1","AD"
"TMPRSS15","AR"
"","AR"
"JAM2","AR"
"APP","AD"
"SOD1","AD"
"MRAP","AR"
"CFAP298","AR"
"SYNJ1","AR"
"IFNAR2","AR"
"IL10RB","AR"
"IFNGR2","AR"
"SON","AD"
"DONSON","AR"
"KCNE2","AD"
"KCNE1","AD"
"RUNX1","AD"
"CLDN14","AR"
"HLCS","AR"
"PIGP","AR"
"DYRK1A","AD"
"KCNJ6","AD"
"","AD"
"","AR"
"RIPK4","AR"
"TMPRSS3","AR"
"RSPH1","AR"
"WDR4","AR"
"CBS","AR"
"CRYAA","AD"
"SIK1","AD"
"HSF2BP","AR"
"PDXK","AR"
"CSTB","AR"
"AIRE","AD"
"CFAP410","AR"
"TSPEAR","AR"
"ITGB2","AR"
"ADARB1","AR"
"COL18A1","AD"
"SLC19A1","AR"
"COL6A1","AD"
"COL6A2","AD"
"FTCD","AR"
"LSS","AR"
"MCM3AP","AR"
"PCNT","AR"
"IL17RA","AR"
"ADA2","AR"
"","AR"
"ATP6V1E1","AR"
"PEX26","AR"
"USP18","AR"
"PRODH","AD"
"SLC25A1","AR"
"CDC45","AR"
"GP1BB","AR"
"TBX1","AD"
"TXNRD2","AR"
"COMT","AD"
"TANGO2","AR"
"RTN4R","AD"
"SCARF2","AR"
"PI4KA","AR"
"SERPIND1","AD"
"SNAP29","AR"
"LZTR1","AD"
"MAPK1","AD"
"","AD"
"","AD"
"","AD"
"","AD"
"IGLL1","AR"
"CHCHD10","AD"
"SMARCB1","AD"
"SPECC1L","AD"
"UPB1","AR"
"GGT1","AR"
"CRYBB3","AD"
"CRYBB2","AD"
"MYO18B","AR"
"HPS4","AR"
"CRYBB1","AD"
"MN1","AD"
"CHEK2","AD"
"HSCB","AR"
"KREMEN1","AR"
"AP1B1","AR"
"NEFH","AD"
"NF2","AD"
"TCN2","AR"
"MORC2","AD"
"PISD","AR"
"DEPDC5","AD"
"","AR"
"","AD"
"SLC5A1","AR"
"FBXO7","AR"
"TIMP3","AD"
"LARGE1","AR"
"TOM1","AD"
"MCM5","AR"
"APOL4","AD"
"APOL2","AD"
"MYH9","AD"
"TXN2","AR"
"CACNG2","AD"
"IFT27","AR"
"NCF4","AR"
"CSF2RB","AR"
"KCTD17","AD"
"TMPRSS6","AR"
"IL2RB","AR"
"RAC2","AD"
"TRIOBP","AR"
"SOX10","AD"
"PLA2G6","AR"
"DNAL4","AR"
"PDGFB","AD"
"TNRC6B","AD"
"ADSL","AR"
"MRTFA","AR"
"XPNPEP3","AR"
"EP300","AD"
"ACO2","AR"
"MEI1","AR"
"TNFRSF13C","AR"
"NAGA","AR"
"NDUFA6","AR"
"CYP2D6","AR"
"TCF20","AD"
"RRP7A","AR"
"CYB5R3","AR"
"FBLN1","AD"
"ATXN10","AD"
"TRMU","AR"
"CELSR1","AD"
"ALG12","AR"
"MLC1","AR"
"TUBGCP6","AR"
"SBF1","AR"
"SCO2","AD"
"TYMP","AR"
"CHKB","AR"
"ARSA","AR"
"SHANK3","AD"
"","XL"
"ARSL","XL"
"NLGN4X","XL"
"","XL"
"","XL"
"","XL"
"","XL"
"STS","XL"
"ANOS1","XL"
"TBL1X","XL"
"","XL"
"","XL"
"","XL"
"GPR143","XL"
"CLCN4","XL"
"MID1","XL"
"HCCS","XL"
"AMELX","XL"
"MSL3","XL"
"FRMPD4","XL"
"TLR7","XL"
"TRAPPC2","XL"
"OFD1","XL"
"FANCB","XL"
"PIGA","XL"
"AP1S2","XL"
"NHS","XL"
"CDKL5","XL"
"RS1","XL"
"PHKA2","XL"
"ADGRG2","XL"
"PDHA1","XL"
"SH3KBP1","XL"
"RPS6KA3","XL"
"CNKSR2","XL"
"SMPX","XL"
"MBTPS2","XL"
"","XL"
"","XL"
"SMS","XL"
"PHEX","XL"
"PTCHD1","XL"
"KLHL15","XL"
"EIF2S3","XL"
"PDK3","XL"
"POLA1","XL"
"","XL"
"","XL"
"ARX","XL"
"IL1RAPL1","XL"
"","XL"
"NR0B1","XL"
"GK","XL"
"DMD","XL"
"","XL"
"CFAP47","XL"
"XK","XL"
"CYBB","XL"
"","XL"
"","XL"
"RPGR","XL"
"OTC","XL"
"TSPAN7","XL"
"BCOR","XL"
"ATP6AP2","XL"
"USP9X","XL"
"DDX3X","XL"
"NYX","XL"
"CASK","XL"
"","XL"
"","XL"
"","XL"
"","XL"
"","XL"
"","XL"
"","XL"
"","XL"
"MAOA","XL"
"NDP","XL"
"KDM6A","XL"
"SLC9A7","XL"
"RP2","XL"
"NDUFB11","XL"
"RBM10","XL"
"UBA1","XL"
"SYN1","XL"
"","XL"
"CFP","XL"
"FTSJ1","XL"
"PORCN","XL"
"EBP","XL"
"WAS","XL"
"GATA1","XL"
"HDAC6","XL"
"PQBP1","XL"
"SLC35A2","XL"
"OTUD5","XL"
"WDR45","XL"
"PRICKLE3","XL"
"SYP","XL"
"CACNA1F","XL"
"CCDC22","XL"
"FOXP3","XL"
"USP27X","XL"
"CLCN5","XL"
"","XL"
"","XL"
"SHROOM4","XL"
"BMP15","XL"
"KDM5C","XL"
"IQSEC2","XL"
"SMC1A","XL"
"HSD17B10","XL"
"HUWE1","XL"
"PHF8","XL"
"TSR2","XL"
"FGD1","XL"
"","XL"
"MAGED2","XL"
"ALAS2","XL"
"UBQLN2","XL"
"","XL"
"","XL"
"","XL"
"","XL"
"","XL"
"","XL"
"","XL"
"","XL"
"ARHGEF9","XL"
"","XL"
"AMER1","XL"
"ZC4H2","XL"
"","XL"
"","XL"
"LAS1L","XL"
"MSN","XL"
"AR","AD"
"OPHN1","XL"
"","XL"
"EFNB1","XL"
"EDA","XL"
"IGBP1","XL"
"ARR3","XL"
"KIF4A","XL"
"DLG3","XL"
"TEX11","XL"
"IL2RG","XL"
"MED12","XL"
"NLGN3","XL"
"GJB1","XL"
"NONO","XL"
"TAF1","XL"
"OGT","XL"
"HDAC8","XL"
"PHKA1","XL"
"","XL"
"SLC16A2","XL"
"RLIM","XL"
"","XL"
"","XL"
"NEXMIF","XL"
"ABCB7","XL"
"FGF16","XL"
"ATRX","XL"
"MAGT1","XL"
"COX7B","XL"
"ATP7A","XL"
"1,00 PGK","XL"
"TBX22","XL"
"BRWD3","XL"
"POU3F4","XL"
"ZNF711","XL"
"POF1B","XL"
"CHM","XL"
"","XL"
"","XL"
"DIAPH2","XL"
"PCDH19","XL"
"TIMM8A","XL"
"BTK","XL"
"GLA","XL"
"HNRNPH2","XL"
"GPRASP2","XL"
"","XL"
"PLP1","XL"
"","XL"
"SERPINA7","XL"
"TBC1D8B","XL"
"CLDN2","XL"
"DNAAF6","XL"
"PRPS1","XL"
"MID2","XL"
"COL4A6","XL"
"COL4A5","XL"
"IRS4","XL"
"","XL"
"ACSL4","XL"
"AMMECR1","XL"
"CHRDL1","XL"
"PAK3","XL"
"DCX","XL"
"ALG13","XL"
"PLS3","XL"
"","XL"
"","XL"
"","XL"
"","XL"
"","XL"
"","XL"
"","XL"
"","XL"
"STEEP1","XL"
"UBE2A","XL"
"UPF3B","XL"
"RNF113A","XL"
"NDUFA1","XL"
"NKAP","XL"
"LAMP2","XL"
"CUL4B","XL"
"GLUD2","AD"
"","XL"
"","XL"
"","XL"
"","XL"
"","XL"
"GRIA3","XL"
"THOC2","XL"
"XIAP","XL"
"STAG2","XL"
"SH2D1A","XL"
"OCRL","XL"
"ZDHHC9","XL"
"BCORL1","XL"
"AIFM1","XL"
"IGSF1","XL"
"FRMD7","XL"
"HS6ST2","XL"
"GPC4","XL"
"GPC3","XL"
"PHF6","XL"
"HPRT1","XL"
"","XL"
"","XL"
"","XL"
"","XL"
"","XL"
"","XL"
"","XL"
"","XL"
"SLC9A6","XL"
"FHL1","XL"
"CD40LG","XL"
"RBMX","XL"
"GPR101","XL"
"ZIC3","XL"
"FGF13","XL"
"","XL"
"","XL"
"F9","XL"
"ATP11C","XL"
"SOX3","XL"
"","XL"
"","XL"
"","XL"
"","XL"
"FMR1","XL"
"","XL"
"","XL"
"","XL"
"","XL"
"","XL"
"","XL"
"","XL"
"","XL"
"AFF2","XL"
"IDS","XL"
"MAMLD1","XL"
"MTM1","XL"
"HMGB3","XL"
"VMA21","XL"
"NSDHL","XL"
"BGN","XL"
"ATP2B3","XL"
"CCNQ","XL"
"SLC6A8","XL"
"BCAP31","XL"
"ABCD1","XL"
"SSR4","XL"
"L1CAM","XL"
"AVPR2","XL"
"NAA10","XL"
"HCFC1","XL"
"MECP2","XL"
"OPN1LW","XL"
"OPN1MW","XL"
"FLNA","XL"
"EMD","XL"
"RPL10","XL"
"TAFAZZIN","XL"
"ATP6AP1","XL"
"GDI1","XL"
"FAM50A","XL"
"LAGE3","XL"
"G6PD","XL"
"IKBKG","XL"
"DKC1","XL"
"F8","XL"
"RAB39B","XL"
"CLIC2","XL"
"TMLHE","XL"
"","XL"
"","XL"
"","XL"
"","XL"
"","XL"
"SRY","XL"
