"gene","inheritance"
"KYNU","AR"
"ZEB2","AD"
"ORC4","AR"
"MBD5","AD"
"KIF5C","AD"
"MMADHC","AR"
"","AD"
"","AR"
"","AD"
"NEB","AR"
"CACNB4","AD"
"GPD2","AD"
"ACVR1","AD"
"ITGB6","AR"
"TBR1","AD"
"IFIH1","AD"
"","AD"
"SCN3A","AD"
"SCN2A","AD"
"GALNT3","AR"
"TTC21B","AD"
"SCN1A","AD"
"SCN9A","AD"
"","AD"
"ABCB11","AR"
"LRP2","AR"
"BBS5","AR"
"KLHL41","AR"
"METTL5","AR"
"GAD1","AR"
"DCAF17","AR"
"DYNC1I2","AR"
"SLC25A12","AR"
"ITGA6","AR"
"MAP3K20","AR"
"CDCA7","AR"
"WIPF1","AR"
"CHRNA1","AD"
"CHN1","AD"
"LNPK","AR"
"HOXD13","AD"
"HOXD10","AD"
"MTX2","AR"
"NFE2L2","AD"
"AGPS","AR"
"PDE11A","AD"
"PRKRA","AR"
"PJVK","AR"
"TTN","AD"
"","AD"
"","AD"
"NEUROD1","AD"
"","AD"
"FSIP2","AR"
"CALCRL","AR"
"COL3A1","AD"
"COL5A2","AD"
"SLC40A1","AD"
"MSTN","AR"
"HIBCH","AR"
"GLS","AD"
"STAT1","AD"
"HECW2","AD"
"PGAP1","AR"
"HSPD1","AD"
"MARS2","AR"
"SATB2","AD"
"C2orf69","AR"
"NDUFB3","AR"
"CASP10","AD"
"CASP8","AD"
"TMEM237","AR"
"ALS2","AR"
"BMPR2","AD"
"CTLA4","AD"
"ICOS","AR"
"","AD"
"NDUFS1","AR"
"FASTKD2","AR"
"CRYGD","AD"
"CRYGC","AD"
"CRYGB","AD"
"","AD"
"PIKFYVE","AD"
"UNC80","AR"
"MYL1","AR"
"CPS1","AR"
"ERBB4","AD"
"","AD"
"BARD1","AD"
"ABCA12","AR"
"ATIC","AR"
"FN1","AD"
"SMARCAL1","AR"
"PNKD","AD"
"CATIP","AR"
"ZNF142","AR"
"BCS1L","AR"
"STK36","AR"
"CYP27A1","AR"
"PRKAG3","AR"
"WNT10A","AD"
"CRYBA2","AD"
"CFAP65","AR"
"IHH","AD"
"ABCB6","AD"
"TUBA4A","AD"
"DNAJB2","AR"
"DES","AD"
"SPEG","AR"
"GMPPA","AR"
"OBSL1","AR"
"PAX3","AD"
"FARSB","AR"
"AP1S3","AD"
"MRPL44","AR"
"CUL3","AD"
"","AD"
"","AD"
"IRS1","AD"
"COL4A4","AD"
"COL4A3","AD"
"MFF","AR"
"TM4SF20","AD"
"SLC19A3","AR"
"TRIP12","AD"
"SP110","AR"
"ARMC9","AR"
"PDE6D","AR"
"DIS3L2","AR"
"ECEL1","AR"
"PRSS56","AR"
"CHRND","AD"
"CHRNG","AR"
"KCNJ13","AD"
"SAG","AR"
"UGT1A1","AR"
"","AD"
"ACKR3","AR"
"COL6A3","AD"
"MLPH","AR"
"PER2","AD"
"TRAF3IP1","AR"
"TWIST2","AD"
"NDUFA10","AR"
"KIF1A","AD"
"AGXT","AR"
"D2HGDH","AR"
"","AD"
"TRNT1","AR"
"CRBN","AR"
"","AR"
"SUMF1","AR"
"ITPR1","AD"
"GRM7","AR"
"CAV3","AD"
"SETD5","AD"
"MTMR14","AD"
"BRPF1","AD"
"CIDEC","AR"
"JAGN1","AR"
"IL17RC","AR"
"CRELD1","AD"
"FANCD2","AR"
"VHL","AD"
"GHRL","AD"
"ATP2B2","AR"
"SLC6A1","AD"
"ATG7","AR"
"SYN2","AD"
"PPARG","AD"
"TSEN2","AR"
"RAF1","AD"
"IQSEC1","AR"
"","AD"
"WNT7A","AR"
"TMEM43","AD"
"XPC","AR"
"SLC6A6","AR"
"CCDC174","AR"
"MRPS25","AR"
"COLQ","AR"
"BTD","AR"
"SATB1","AD"
"SGO1","AR"
"","AD"
"RPL15","AD"
"THRB","AD"
"RARB","AD"
"NGLY1","AR"
"","AD"
"","AD"
"NEK10","AR"
"TGFBR2","AD"
"","AD"
"STT3B","AR"
"TRIM71","AD"
"GLB1","AR"
"CRTAP","AR"
"","AD"
"MLH1","AD"
"PLCD1","AD"
"MYD88","AR"
"SCN5A","AD"
"SCN10A","AD"
"SCN11A","AD"
"TTC21A","AR"
"SLC25A38","AR"
"RPSA","AD"
"CTNNB1","AD"
"TRAK1","AR"
"KLHL40","AR"
"POMGNT2","AR"
"ANO10","AR"
"ABHD5","AR"
"LARS2","AR"
"SLC6A20","AD"
"LZTFL1","AR"
"FYCO1","AR"
"TMIE","AR"
"MYL3","AD"
"PTH1R","AD"
"NBEAL2","AR"
"SETD2","AD"
"PTPN23","AR"
"DHX30","AD"
"TREX1","AD"
"COL7A1","AD"
"UQCRC1","AD"
"SLC25A20","AR"
"P4HTM","AR"
"DALRD3","AR"
"NDUFAF3","AR"
"QRICH1","AD"
"QARS1","AR"
"LAMB2","AR"
"KLHDC8B","AR"
"GPX1","AR"
"AMT","AR"
"DAG1","AR"
"GMPPB","AR"
"TRAIP","AR"
"MST1R","AD"
"GNAT1","AD"
"GNAI2","AD"
"HYAL1","AR"
"ZMYND10","AR"
"NPRL2","AD"
"CACNA2D2","AR"
"MAPKAPK3","AD"
"DOCK3","AR"
"ACY1","AR"
"POC1A","AR"
"GLYCTK","AR"
"DNAH1","AR"
"BAP1","AD"
"TNNC1","AD"
"RFT1","AR"
"PRKCD","AR"
"TKT","AR"
"CACNA1D","AD"
"WNT5A","AD"
"IL17RD","AD"
"HESX1","AD"
"APPL1","AD"
"FLNB","AD"
"DNASE1L3","AR"
"PDHB","AR"
"ACOX2","AR"
"ATXN7","AD"
"SLC25A26","AR"
"EOGT","AR"
"LMOD3","AR"
"MITF","AD"
"FOXP1","AD"
"PROK2","AD"
"ROBO2","AD"
"GBE1","AR"
"","AD"
"CHMP2B","AD"
